Season,Team,Abbreviation,Win%,Rating,Division,Conference
1989-90,Detroit Red Wings,DET,0.02,60.8,Norris,Campbell
1989-90,New York Rangers,NYR,-0.03,58.8,Patrick,Wales
1989-90,Washington Capitals,WSH,-0.03,58.8,Patrick,Wales
1989-90,New York Islanders,NYI,-0.01,59.6,Patrick,Wales
1989-90,Pittsburgh Penguins,PIT,0.02,60.8,Patrick,Wales
1989-90,Philadelphia Flyers,PHI,-0.01,59.6,Patrick,Wales
1989-90,Calgary Flames,CGY,-0.04,58.4,Smythe,Campbell
1989-90,Edmonton Oilers,EDM,0.02,60.8,Smythe,Campbell
1989-90,Winnipeg Jets,WPG,0.05,62,Smythe,Campbell
1989-90,Los Angeles Kings,LAK,0.06,62.4,Smythe,Campbell
1989-90,Vancouver Canucks,VAN,0.13,65.2,Smythe,Campbell
1989-90,New Jersey Devils,NJD,-0.03,58.8,Patrick,Unknown
1988-89,Montreal Canadiens,MTL,-0.06,57.6,Adams,Wales
1988-89,Boston Bruins,BOS,0.02,60.8,Adams,Wales
1988-89,Buffalo Sabres,BUF,0.06,62.4,Adams,Wales
1988-89,Hartford Whalers,HFD,0.04,61.6,Adams,Wales
1988-89,Quebec Nordiques,QUE,0.14,65.6,Adams,Wales
1988-89,Detroit Red Wings,DET,-0.14,54.4,Norris,Campbell
1988-89,St. Louis Blues,STL,-0.13,54.8,Norris,Campbell
1988-89,Minnesota North Stars,MNS,-0.12,55.2,Norris,Campbell
1988-89,Chicago Blackhawks,CHI,-0.1,56,Norris,Campbell
1988-89,Toronto Maple Leafs,TOR,-0.05,58,Norris,Campbell
1988-89,Washington Capitals,WSH,-0.07,57.2,Patrick,Wales
1988-89,Pittsburgh Penguins,PIT,-0.02,59.2,Patrick,Wales
1988-89,New York Rangers,NYR,-0.03,58.8,Patrick,Wales
1988-89,Philadelphia Flyers,PHI,-0.05,58,Patrick,Wales
1988-89,New York Islanders,NYI,0.04,61.6,Patrick,Wales
1988-89,Calgary Flames,CGY,-0.03,58.8,Smythe,Campbell
1988-89,Los Angeles Kings,LAK,0.07,62.8,Smythe,Campbell
1988-89,Edmonton Oilers,EDM,0.1,64,Smythe,Campbell
1988-89,Vancouver Canucks,VAN,0.12,64.8,Smythe,Campbell
1988-89,Winnipeg Jets,WPG,0.18,67.2,Smythe,Campbell
1988-89,New Jersey Devils,NJD,0.02,60.8,Patrick,Unknown
1987-88,Montreal Canadiens,MTL,-0.04,58.4,Adams,Wales
1987-88,Boston Bruins,BOS,-0.03,58.8,Adams,Wales
1987-88,Buffalo Sabres,BUF,0.06,62.4,Adams,Wales
1987-88,Hartford Whalers,HFD,0.05,62,Adams,Wales
1987-88,Quebec Nordiques,QUE,0.07,62.8,Adams,Wales
1987-88,Detroit Red Wings,DET,-0.23,50.8,Norris,Campbell
1987-88,St. Louis Blues,STL,-0.15,54,Norris,Campbell
1987-88,Chicago Blackhawks,CHI,-0.12,55.2,Norris,Campbell
1987-88,Toronto Maple Leafs,TOR,-0.09,56.4,Norris,Campbell
1987-88,Minnesota North Stars,MNS,-0.05,58,Norris,Campbell
1987-88,New York Islanders,NYI,0.03,61.2,Patrick,Wales
1987-88,Washington Capitals,WSH,0.04,61.6,Patrick,Wales
1987-88,Philadelphia Flyers,PHI,0.07,62.8,Patrick,Wales
1987-88,New York Rangers,NYR,0.05,62,Patrick,Wales
1987-88,Pittsburgh Penguins,PIT,0.06,62.4,Patrick,Wales
1987-88,Calgary Flames,CGY,-0.05,58,Smythe,Campbell
1987-88,Edmonton Oilers,EDM,-0.03,58.8,Smythe,Campbell
1987-88,Winnipeg Jets,WPG,0.08,63.2,Smythe,Campbell
1987-88,Los Angeles Kings,LAK,0.1,64,Smythe,Campbell
1987-88,Vancouver Canucks,VAN,0.11,64.4,Smythe,Campbell
1987-88,New Jersey Devils,NJD,0.07,62.8,Patrick,Unknown
1986-87,Hartford Whalers,HFD,0.02,60.8,Adams,Wales
1986-87,Montreal Canadiens,MTL,0,60,Adams,Wales
1986-87,Boston Bruins,BOS,0.01,60.4,Adams,Wales
1986-87,Quebec Nordiques,QUE,0.05,62,Adams,Wales
1986-87,Buffalo Sabres,BUF,0.07,62.8,Adams,Wales
1986-87,St. Louis Blues,STL,-0.07,57.2,Norris,Campbell
1986-87,Detroit Red Wings,DET,-0.07,57.2,Norris,Campbell
1986-87,Chicago Blackhawks,CHI,-0.07,57.2,Norris,Campbell
1986-87,Toronto Maple Leafs,TOR,-0.05,58,Norris,Campbell
1986-87,Minnesota North Stars,MNS,-0.07,57.2,Norris,Campbell
1986-87,Philadelphia Flyers,PHI,-0.08,56.8,Patrick,Wales
1986-87,Washington Capitals,WSH,-0.02,59.2,Patrick,Wales
1986-87,New York Islanders,NYI,-0.01,59.6,Patrick,Wales
1986-87,New York Rangers,NYR,0.01,60.4,Patrick,Wales
1986-87,Pittsburgh Penguins,PIT,-0.02,59.2,Patrick,Wales
1986-87,Edmonton Oilers,EDM,-0.04,58.4,Smythe,Campbell
1986-87,Calgary Flames,CGY,0.03,61.2,Smythe,Campbell
1986-87,Winnipeg Jets,WPG,0.05,62,Smythe,Campbell
1986-87,Los Angeles Kings,LAK,0.09,63.6,Smythe,Campbell
1986-87,Vancouver Canucks,VAN,0.1,64,Smythe,Campbell
1986-87,New Jersey Devils,NJD,0.07,62.8,Patrick,Unknown
1985-86,Quebec Nordiques,QUE,0.09,63.6,Adams,Wales
1985-86,Montreal Canadiens,MTL,0.08,63.2,Adams,Wales
1985-86,Boston Bruins,BOS,0.11,64.4,Adams,Wales
1985-86,Hartford Whalers,HFD,0.1,64,Adams,Wales
1985-86,Buffalo Sabres,BUF,0.13,65.2,Adams,Wales
1985-86,Chicago Black Hawks,CHI,-0.17,53.2,Norris,Campbell
1985-86,Minnesota North Stars,MNS,-0.2,52,Norris,Campbell
1985-86,St. Louis Blues,STL,-0.18,52.8,Norris,Campbell
1985-86,Toronto Maple Leafs,TOR,-0.09,56.4,Norris,Campbell
1985-86,Detroit Red Wings,DET,0,60,Norris,Campbell
1985-86,Philadelphia Flyers,PHI,-0.01,59.6,Patrick,Wales
1985-86,Washington Capitals,WSH,0.04,61.6,Patrick,Wales
1985-86,New York Islanders,NYI,0.04,61.6,Patrick,Wales
1985-86,New York Rangers,NYR,0.08,63.2,Patrick,Wales
1985-86,Pittsburgh Penguins,PIT,0.08,63.2,Patrick,Wales
1985-86,Edmonton Oilers,EDM,-0.2,52,Smythe,Campbell
1985-86,Calgary Flames,CGY,-0.12,55.2,Smythe,Campbell
1985-86,Winnipeg Jets,WPG,0.02,60.8,Smythe,Campbell
1985-86,Vancouver Canucks,VAN,-0.01,59.6,Smythe,Campbell
1985-86,Los Angeles Kings,LAK,0.05,62,Smythe,Campbell
1985-86,New Jersey Devils,NJD,0.16,66.4,Patrick,Unknown
1984-85,Montreal Canadiens,MTL,0.05,62,Adams,Wales
1984-85,Quebec Nordiques,QUE,0.05,62,Adams,Wales
1984-85,Buffalo Sabres,BUF,0.04,61.6,Adams,Wales
1984-85,Boston Bruins,BOS,0.09,63.6,Adams,Wales
1984-85,Hartford Whalers,HFD,0.16,66.4,Adams,Wales
1984-85,St. Louis Blues,STL,-0.18,52.8,Norris,Campbell
1984-85,Chicago Black Hawks,CHI,-0.18,52.8,Norris,Campbell
1984-85,Detroit Red Wings,DET,-0.11,55.6,Norris,Campbell
1984-85,Minnesota North Stars,MNS,-0.1,56,Norris,Campbell
1984-85,Toronto Maple Leafs,TOR,-0.04,58.4,Norris,Campbell
1984-85,Philadelphia Flyers,PHI,-0.12,55.2,Patrick,Wales
1984-85,Washington Capitals,WSH,-0.1,56,Patrick,Wales
1984-85,New York Islanders,NYI,-0.05,58,Patrick,Wales
1984-85,New York Rangers,NYR,0.04,61.6,Patrick,Wales
1984-85,Pittsburgh Penguins,PIT,0.1,64,Patrick,Wales
1984-85,Edmonton Oilers,EDM,-0.04,58.4,Smythe,Campbell
1984-85,Winnipeg Jets,WPG,0.05,62,Smythe,Campbell
1984-85,Calgary Flames,CGY,0.01,60.4,Smythe,Campbell
1984-85,Los Angeles Kings,LAK,0.06,62.4,Smythe,Campbell
1984-85,Vancouver Canucks,VAN,0.21,68.4,Smythe,Campbell
1984-85,New Jersey Devils,NJD,0.07,62.8,Patrick,Unknown
1983-84,Boston Bruins,BOS,0.07,62.8,Adams,Wales
1983-84,Buffalo Sabres,BUF,0.09,63.6,Adams,Wales
1983-84,Quebec Nordiques,QUE,0.06,62.4,Adams,Wales
1983-84,Montreal Canadiens,MTL,0.17,66.8,Adams,Wales
1983-84,Hartford Whalers,HFD,0.19,67.6,Adams,Wales
1983-84,Minnesota North Stars,MNS,-0.15,54,Norris,Campbell
1983-84,St. Louis Blues,STL,-0.12,55.2,Norris,Campbell
1983-84,Detroit Red Wings,DET,-0.12,55.2,Norris,Campbell
1983-84,Chicago Black Hawks,CHI,-0.11,55.6,Norris,Campbell
1983-84,Toronto Maple Leafs,TOR,-0.05,58,Norris,Campbell
1983-84,New York Islanders,NYI,-0.1,56,Patrick,Wales
1983-84,Washington Capitals,WSH,-0.09,56.4,Patrick,Wales
1983-84,Philadelphia Flyers,PHI,-0.07,57.2,Patrick,Wales
1983-84,New York Rangers,NYR,-0.02,59.2,Patrick,Wales
1983-84,Pittsburgh Penguins,PIT,0.13,65.2,Patrick,Wales
1983-84,Edmonton Oilers,EDM,-0.15,54,Smythe,Campbell
1983-84,Calgary Flames,CGY,0.01,60.4,Smythe,Campbell
1983-84,Vancouver Canucks,VAN,0.03,61.2,Smythe,Campbell
1983-84,Winnipeg Jets,WPG,0.04,61.6,Smythe,Campbell
1983-84,Los Angeles Kings,LAK,0.08,63.2,Smythe,Campbell
1983-84,New Jersey Devils,NJD,0.11,64.4,Patrick,Unknown
1982-83,Boston Bruins,BOS,-0.06,57.6,Adams,Wales
1982-83,Montreal Canadiens,MTL,-0.02,59.2,Adams,Wales
1982-83,Buffalo Sabres,BUF,0.02,60.8,Adams,Wales
1982-83,Quebec Nordiques,QUE,0.05,62,Adams,Wales
1982-83,Hartford Whalers,HFD,0.22,68.8,Adams,Wales
1982-83,Chicago Black Hawks,CHI,-0.12,55.2,Norris,Campbell
1982-83,Minnesota North Stars,MNS,-0.08,56.8,Norris,Campbell
1982-83,Toronto Maple Leafs,TOR,0,60,Norris,Campbell
1982-83,St. Louis Blues,STL,-0.01,59.6,Norris,Campbell
1982-83,Detroit Red Wings,DET,0.05,62,Norris,Campbell
1982-83,Philadelphia Flyers,PHI,-0.12,55.2,Patrick,Wales
1982-83,New York Islanders,NYI,-0.11,55.6,Patrick,Wales
1982-83,Washington Capitals,WSH,-0.05,58,Patrick,Wales
1982-83,New York Rangers,NYR,-0.05,58,Patrick,Wales
1982-83,Pittsburgh Penguins,PIT,0.11,64.4,Patrick,Wales
1982-83,Edmonton Oilers,EDM,-0.1,56,Smythe,Campbell
1982-83,Calgary Flames,CGY,0.02,60.8,Smythe,Campbell
1982-83,Vancouver Canucks,VAN,0.03,61.2,Smythe,Campbell
1982-83,Winnipeg Jets,WPG,0.05,62,Smythe,Campbell
1982-83,Los Angeles Kings,LAK,0.09,63.6,Smythe,Campbell
1982-83,New Jersey Devils,NJD,0.08,63.2,Patrick,Unknown
1981-82,Montreal Canadiens,MTL,-0.04,58.4,Adams,Wales
1981-82,Boston Bruins,BOS,0.08,63.2,Adams,Wales
1981-82,Buffalo Sabres,BUF,0.08,63.2,Adams,Wales
1981-82,Quebec Nordiques,QUE,0.11,64.4,Adams,Wales
1981-82,Hartford Whalers,HFD,0.22,68.8,Adams,Wales
1981-82,Minnesota North Stars,MNS,-0.19,52.4,Norris,Campbell
1981-82,St. Louis Blues,STL,-0.1,56,Norris,Campbell
1981-82,Chicago Black Hawks,CHI,-0.1,56,Norris,Campbell
1981-82,Toronto Maple Leafs,TOR,-0.05,58,Norris,Campbell
1981-82,Detroit Red Wings,DET,-0.05,58,Norris,Campbell
1981-82,New York Islanders,NYI,-0.05,58,Patrick,Wales
1981-82,New York Rangers,NYR,0.09,63.6,Patrick,Wales
1981-82,Philadelphia Flyers,PHI,0.09,63.6,Patrick,Wales
1981-82,Pittsburgh Penguins,PIT,0.13,65.2,Patrick,Wales
1981-82,Washington Capitals,WSH,0.12,64.8,Patrick,Wales
1981-82,Winnipeg Jets,WPG,-0.12,55.2,Smythe,Campbell
1981-82,Edmonton Oilers,EDM,-0.19,52.4,Smythe,Campbell
1981-82,Vancouver Canucks,VAN,-0.06,57.6,Smythe,Campbell
1981-82,Calgary Flames,CGY,-0.04,58.4,Smythe,Campbell
1981-82,Los Angeles Kings,LAK,0.01,60.4,Smythe,Campbell
1981-82,Colorado Rockies,CLR,0.08,63.2,Smythe,Campbell
1980-81,Buffalo Sabres,BUF,-0.05,58,Adams,Wales
1980-81,Boston Bruins,BOS,-0.03,58.8,Adams,Wales
1980-81,Minnesota North Stars,MNS,-0.02,59.2,Adams,Wales
1980-81,Quebec Nordiques,QUE,0,60,Adams,Wales
1980-81,Toronto Maple Leafs,TOR,0.03,61.2,Adams,Wales
1980-81,Montreal Canadiens,MTL,-0.06,57.6,Norris,Wales
1980-81,Los Angeles Kings,LAK,-0.03,58.8,Norris,Wales
1980-81,Pittsburgh Penguins,PIT,0.03,61.2,Norris,Wales
1980-81,Hartford Whalers,HFD,0.05,62,Norris,Wales
1980-81,Detroit Red Wings,DET,0.05,62,Norris,Wales
1980-81,New York Islanders,NYI,-0.06,57.6,Patrick,Wales
1980-81,Philadelphia Flyers,PHI,-0.04,58.4,Patrick,Wales
1980-81,Calgary Flames,CGY,-0.02,59.2,Patrick,Wales
1980-81,New York Rangers,NYR,0,60,Patrick,Wales
1980-81,Washington Capitals,WSH,0.02,60.8,Patrick,Wales
1980-81,St. Louis Blues,STL,-0.04,58.4,Smythe,Campbell
1980-81,Chicago Black Hawks,CHI,0.01,60.4,Smythe,Campbell
1980-81,Vancouver Canucks,VAN,0.01,60.4,Smythe,Campbell
1980-81,Edmonton Oilers,EDM,0,60,Smythe,Campbell
1980-81,Colorado Rockies,CLR,0.05,62,Smythe,Campbell
1980-81,Winnipeg Jets,WPG,0.09,63.6,Smythe,Campbell
2011-12,New York Rangers,NYR,0.591,83.6,Atlantic,Eastern
2011-12,Pittsburgh Penguins,PIT,0.591,83.6,Atlantic,Eastern
2011-12,Philadelphia Flyers,PHI,0.567,82.7,Atlantic,Eastern
2011-12,New Jersey Devils,NJD,0.524,81,Atlantic,Eastern
2011-12,New York Islanders,NYI,0.421,76.8,Atlantic,Eastern
2011-12,St. Louis Blues,STL,0.622,84.9,Central,Western
2011-12,Nashville Predators,NSH,0.585,83.4,Central,Western
2011-12,Detroit Red Wings,DET,0.549,82,Central,Western
2011-12,Chicago Blackhawks,CHI,0.549,82,Central,Western
2011-12,Columbus Blue Jackets,CBJ,0.36,74.4,Central,Western
2011-12,Boston Bruins,BOS,0.555,82.2,Northeast,Eastern
2011-12,Ottawa Senators,OTT,0.494,79.8,Northeast,Eastern
2011-12,Buffalo Sabres,BUF,0.47,78.8,Northeast,Eastern
2011-12,Toronto Maple Leafs,TOR,0.433,77.3,Northeast,Eastern
2011-12,Montreal Canadiens,MTL,0.433,77.3,Northeast,Eastern
2011-12,Vancouver Canucks,VAN,0.585,83.4,Northwest,Western
2011-12,Calgary Flames,CGY,0.518,80.7,Northwest,Western
2011-12,Colorado Avalanche,COL,0.439,77.6,Northwest,Western
2011-12,Minnesota Wild,MIN,0.415,76.6,Northwest,Western
2011-12,Edmonton Oilers,EDM,0.409,76.4,Northwest,Western
2011-12,Phoenix Coyotes,PHX,0.537,81.5,Pacific,Western
2011-12,San Jose Sharks,SJS,0.512,80.5,Pacific,Western
2011-12,Los Angeles Kings,LAK,0.524,81,Pacific,Western
2011-12,Dallas Stars,DAL,0.476,79,Pacific,Western
2011-12,Anaheim Ducks,ANA,0.457,78.3,Pacific,Western
2011-12,Florida Panthers,FLA,0.53,81.2,Southeast,Eastern
2011-12,Washington Capitals,WSH,0.494,79.8,Southeast,Eastern
2011-12,Tampa Bay Lightning,TBL,0.433,77.3,Southeast,Eastern
2011-12,Winnipeg Jets,WPG,0.451,78,Southeast,Eastern
2011-12,Carolina Hurricanes,CAR,0.476,79,Southeast,Eastern
2010-11,Philadelphia Flyers,PHI,0.61,84.4,Atlantic,Eastern
2010-11,Pittsburgh Penguins,PIT,0.555,82.2,Atlantic,Eastern
2010-11,New York Rangers,NYR,0.494,79.8,Atlantic,Eastern
2010-11,New Jersey Devils,NJD,0.433,77.3,Atlantic,Eastern
2010-11,New York Islanders,NYI,0.378,75.1,Atlantic,Eastern
2010-11,Detroit Red Wings,DET,0.555,82.2,Central,Western
2010-11,Nashville Predators,NSH,0.555,82.2,Central,Western
2010-11,Chicago Blackhawks,CHI,0.53,81.2,Central,Western
2010-11,St. Louis Blues,STL,0.488,79.5,Central,Western
2010-11,Columbus Blue Jackets,CBJ,0.433,77.3,Central,Western
2010-11,Boston Bruins,BOS,0.61,84.4,Northeast,Eastern
2010-11,Montreal Canadiens,MTL,0.537,81.5,Northeast,Eastern
2010-11,Buffalo Sabres,BUF,0.494,79.8,Northeast,Eastern
2010-11,Toronto Maple Leafs,TOR,0.476,79,Northeast,Eastern
2010-11,Ottawa Senators,OTT,0.427,77.1,Northeast,Eastern
2010-11,Vancouver Canucks,VAN,0.665,86.6,Northwest,Western
2010-11,Calgary Flames,CGY,0.506,80.2,Northwest,Western
2010-11,Minnesota Wild,MIN,0.476,79,Northwest,Western
2010-11,Colorado Avalanche,COL,0.341,73.6,Northwest,Western
2010-11,Edmonton Oilers,EDM,0.354,74.2,Northwest,Western
2010-11,San Jose Sharks,SJS,0.579,83.2,Pacific,Western
2010-11,Anaheim Ducks,ANA,0.524,81,Pacific,Western
2010-11,Phoenix Coyotes,PHX,0.561,82.4,Pacific,Western
2010-11,Los Angeles Kings,LAK,0.53,81.2,Pacific,Western
2010-11,Dallas Stars,DAL,0.518,80.7,Pacific,Western
2010-11,Washington Capitals,WSH,0.567,82.7,Southeast,Eastern
2010-11,Tampa Bay Lightning,TBL,0.543,81.7,Southeast,Eastern
2010-11,Carolina Hurricanes,CAR,0.488,79.5,Southeast,Eastern
2010-11,Atlanta Thrashers,ATL,0.396,75.8,Southeast,Eastern
2010-11,Florida Panthers,FLA,0.378,75.1,Southeast,Eastern
2009-10,New Jersey Devils,NJD,0.579,83.2,Atlantic,Eastern
2009-10,Pittsburgh Penguins,PIT,0.53,81.2,Atlantic,Eastern
2009-10,Philadelphia Flyers,PHI,0.5,80,Atlantic,Eastern
2009-10,New York Rangers,NYR,0.506,80.2,Atlantic,Eastern
2009-10,New York Islanders,NYI,0.396,75.8,Atlantic,Eastern
2009-10,Chicago Blackhawks,CHI,0.591,83.6,Central,Western
2009-10,Detroit Red Wings,DET,0.555,82.2,Central,Western
2009-10,Nashville Predators,NSH,0.524,81,Central,Western
2009-10,St. Louis Blues,STL,0.488,79.5,Central,Western
2009-10,Columbus Blue Jackets,CBJ,0.451,78,Central,Western
2009-10,Buffalo Sabres,BUF,0.549,82,Northeast,Eastern
2009-10,Ottawa Senators,OTT,0.512,80.5,Northeast,Eastern
2009-10,Boston Bruins,BOS,0.47,78.8,Northeast,Eastern
2009-10,Montreal Canadiens,MTL,0.445,77.8,Northeast,Eastern
2009-10,Toronto Maple Leafs,TOR,0.396,75.8,Northeast,Eastern
2009-10,Vancouver Canucks,VAN,0.579,83.2,Northwest,Western
2009-10,Colorado Avalanche,COL,0.524,81,Northwest,Western
2009-10,Calgary Flames,CGY,0.518,80.7,Northwest,Western
2009-10,Minnesota Wild,MIN,0.451,78,Northwest,Western
2009-10,Edmonton Oilers,EDM,0.323,72.9,Northwest,Western
2009-10,San Jose Sharks,SJS,0.64,85.6,Pacific,Western
2009-10,Phoenix Coyotes,PHX,0.537,81.5,Pacific,Western
2009-10,Los Angeles Kings,LAK,0.53,81.2,Pacific,Western
2009-10,Anaheim Ducks,ANA,0.494,79.8,Pacific,Western
2009-10,Dallas Stars,DAL,0.482,79.3,Pacific,Western
2009-10,Washington Capitals,WSH,0.671,86.8,Southeast,Eastern
2009-10,Atlanta Thrashers,ATL,0.47,78.8,Southeast,Eastern
2009-10,Carolina Hurricanes,CAR,0.433,77.3,Southeast,Eastern
2009-10,Tampa Bay Lightning,TBL,0.433,77.3,Southeast,Eastern
2009-10,Florida Panthers,FLA,0.421,76.8,Southeast,Eastern
2008-09,New Jersey Devils,NJD,0.555,82.2,Atlantic,Eastern
2008-09,Pittsburgh Penguins,PIT,0.53,81.2,Atlantic,Eastern
2008-09,Philadelphia Flyers,PHI,0.543,81.7,Atlantic,Eastern
2008-09,New York Rangers,NYR,0.5,80,Atlantic,Eastern
2008-09,New York Islanders,NYI,0.335,73.4,Atlantic,Eastern
2008-09,Detroit Red Wings,DET,0.628,85.1,Central,Western
2008-09,Chicago Blackhawks,CHI,0.573,82.9,Central,Western
2008-09,St. Louis Blues,STL,0.5,80,Central,Western
2008-09,Columbus Blue Jackets,CBJ,0.494,79.8,Central,Western
2008-09,Nashville Predators,NSH,0.463,78.5,Central,Western
2008-09,Boston Bruins,BOS,0.665,86.6,Northeast,Eastern
2008-09,Montreal Canadiens,MTL,0.5,80,Northeast,Eastern
2008-09,Buffalo Sabres,BUF,0.494,79.8,Northeast,Eastern
2008-09,Ottawa Senators,OTT,0.463,78.5,Northeast,Eastern
2008-09,Toronto Maple Leafs,TOR,0.433,77.3,Northeast,Eastern
2008-09,Vancouver Canucks,VAN,0.561,82.4,Northwest,Western
2008-09,Calgary Flames,CGY,0.561,82.4,Northwest,Western
2008-09,Minnesota Wild,MIN,0.494,79.8,Northwest,Western
2008-09,Edmonton Oilers,EDM,0.476,79,Northwest,Western
2008-09,Colorado Avalanche,COL,0.348,73.9,Northwest,Western
2008-09,San Jose Sharks,SJS,0.652,86.1,Pacific,Western
2008-09,Anaheim Ducks,ANA,0.482,79.3,Pacific,Western
2008-09,Dallas Stars,DAL,0.439,77.6,Pacific,Western
2008-09,Phoenix Coyotes,PHX,0.457,78.3,Pacific,Western
2008-09,Los Angeles Kings,LAK,0.433,77.3,Pacific,Western
2008-09,Washington Capitals,WSH,0.598,83.9,Southeast,Eastern
2008-09,Carolina Hurricanes,CAR,0.53,81.2,Southeast,Eastern
2008-09,Florida Panthers,FLA,0.524,81,Southeast,Eastern
2008-09,Atlanta Thrashers,ATL,0.396,75.8,Southeast,Eastern
2008-09,Tampa Bay Lightning,TBL,0.372,74.9,Southeast,Eastern
2007-08,Pittsburgh Penguins,PIT,0.573,82.9,Atlantic,Eastern
2007-08,New Jersey Devils,NJD,0.512,80.5,Atlantic,Eastern
2007-08,New York Rangers,NYR,0.518,80.7,Atlantic,Eastern
2007-08,Philadelphia Flyers,PHI,0.543,81.7,Atlantic,Eastern
2007-08,New York Islanders,NYI,0.421,76.8,Atlantic,Eastern
2007-08,Detroit Red Wings,DET,0.659,86.4,Central,Western
2007-08,Nashville Predators,NSH,0.506,80.2,Central,Western
2007-08,Chicago Blackhawks,CHI,0.482,79.3,Central,Western
2007-08,Columbus Blue Jackets,CBJ,0.457,78.3,Central,Western
2007-08,St. Louis Blues,STL,0.457,78.3,Central,Western
2007-08,Montreal Canadiens,MTL,0.573,82.9,Northeast,Eastern
2007-08,Ottawa Senators,OTT,0.537,81.5,Northeast,Eastern
2007-08,Boston Bruins,BOS,0.518,80.7,Northeast,Eastern
2007-08,Buffalo Sabres,BUF,0.494,79.8,Northeast,Eastern
2007-08,Toronto Maple Leafs,TOR,0.457,78.3,Northeast,Eastern
2007-08,Minnesota Wild,MIN,0.543,81.7,Northwest,Western
2007-08,Colorado Avalanche,COL,0.512,80.5,Northwest,Western
2007-08,Calgary Flames,CGY,0.537,81.5,Northwest,Western
2007-08,Edmonton Oilers,EDM,0.421,76.8,Northwest,Western
2007-08,Vancouver Canucks,VAN,0.476,79,Northwest,Western
2007-08,San Jose Sharks,SJS,0.604,84.2,Pacific,Western
2007-08,Anaheim Ducks,ANA,0.549,82,Pacific,Western
2007-08,Dallas Stars,DAL,0.543,81.7,Pacific,Western
2007-08,Phoenix Coyotes,PHX,0.451,78,Pacific,Western
2007-08,Los Angeles Kings,LAK,0.39,75.6,Pacific,Western
2007-08,Washington Capitals,WSH,0.506,80.2,Southeast,Eastern
2007-08,Carolina Hurricanes,CAR,0.518,80.7,Southeast,Eastern
2007-08,Florida Panthers,FLA,0.463,78.5,Southeast,Eastern
2007-08,Atlanta Thrashers,ATL,0.372,74.9,Southeast,Eastern
2007-08,Tampa Bay Lightning,TBL,0.409,76.4,Southeast,Eastern
2006-07,New Jersey Devils,NJD,0.573,82.9,Atlantic,Eastern
2006-07,Pittsburgh Penguins,PIT,0.543,81.7,Atlantic,Eastern
2006-07,New York Rangers,NYR,0.5,80,Atlantic,Eastern
2006-07,New York Islanders,NYI,0.5,80,Atlantic,Eastern
2006-07,Philadelphia Flyers,PHI,0.317,72.7,Atlantic,Eastern
2006-07,Detroit Red Wings,DET,0.659,86.4,Central,Western
2006-07,Nashville Predators,NSH,0.616,84.6,Central,Western
2006-07,St. Louis Blues,STL,0.433,77.3,Central,Western
2006-07,Columbus Blue Jackets,CBJ,0.39,75.6,Central,Western
2006-07,Chicago Blackhawks,CHI,0.378,75.1,Central,Western
2006-07,Buffalo Sabres,BUF,0.598,83.9,Northeast,Eastern
2006-07,Ottawa Senators,OTT,0.616,84.6,Northeast,Eastern
2006-07,Toronto Maple Leafs,TOR,0.506,80.2,Northeast,Eastern
2006-07,Montreal Canadiens,MTL,0.5,80,Northeast,Eastern
2006-07,Boston Bruins,BOS,0.384,75.4,Northeast,Eastern
2006-07,Vancouver Canucks,VAN,0.537,81.5,Northwest,Western
2006-07,Minnesota Wild,MIN,0.53,81.2,Northwest,Western
2006-07,Calgary Flames,CGY,0.555,82.2,Northwest,Western
2006-07,Colorado Avalanche,COL,0.53,81.2,Northwest,Western
2006-07,Edmonton Oilers,EDM,0.409,76.4,Northwest,Western
2006-07,Anaheim Ducks,ANA,0.616,84.6,Pacific,Western
2006-07,San Jose Sharks,SJS,0.634,85.4,Pacific,Western
2006-07,Dallas Stars,DAL,0.561,82.4,Pacific,Western
2006-07,Los Angeles Kings,LAK,0.378,75.1,Pacific,Western
2006-07,Phoenix Coyotes,PHX,0.366,74.6,Pacific,Western
2006-07,Atlanta Thrashers,ATL,0.506,80.2,Southeast,Eastern
2006-07,Tampa Bay Lightning,TBL,0.476,79,Southeast,Eastern
2006-07,Carolina Hurricanes,CAR,0.5,80,Southeast,Eastern
2006-07,Florida Panthers,FLA,0.494,79.8,Southeast,Eastern
2006-07,Washington Capitals,WSH,0.396,75.8,Southeast,Eastern
2005-06,New Jersey Devils,NJD,0.537,81.5,Atlantic,Eastern
2005-06,Philadelphia Flyers,PHI,0.549,82,Atlantic,Eastern
2005-06,New York Rangers,NYR,0.543,81.7,Atlantic,Eastern
2005-06,New York Islanders,NYI,0.402,76.1,Atlantic,Eastern
2005-06,Pittsburgh Penguins,PIT,0.323,72.9,Atlantic,Eastern
2005-06,Detroit Red Wings,DET,0.713,88.5,Central,Western
2005-06,Nashville Predators,NSH,0.591,83.6,Central,Western
2005-06,Columbus Blue Jackets,CBJ,0.366,74.6,Central,Western
2005-06,Chicago Blackhawks,CHI,0.341,73.6,Central,Western
2005-06,St. Louis Blues,STL,0.305,72.2,Central,Western
2005-06,Ottawa Senators,OTT,0.665,86.6,Northeast,Eastern
2005-06,Buffalo Sabres,BUF,0.604,84.2,Northeast,Eastern
2005-06,Montreal Canadiens,MTL,0.512,80.5,Northeast,Eastern
2005-06,Toronto Maple Leafs,TOR,0.488,79.5,Northeast,Eastern
2005-06,Boston Bruins,BOS,0.415,76.6,Northeast,Eastern
